GSISID,Number,Position
31922,86,TE
31929,54,OLB
31929,53,OLB
31930,48,OLB
31931,49,OLB
31932,16,WR
31933,92,DE
31934,19,WR
31935,94,OLB
31937,24,CB
31939,31,RB
31939,34,RB
31939,31o,RB
31940,96,DE
31940,92,DE
31941,80,WR
31943,53,ILB
31944,24d,CB
31945,50,ILB
31946,45,LB
31946,55,LB
31947,95,NT
31948,96,DE
31948,95,DE
31949,27,CB
31950,58,OLB
31950,57,OLB
31951,88,TE
31951,80,TE
31953,11,WR
31953,18,WR
31953,81,WR
31954,85,WR
31955,43d,CB
31956,56,OLB
31957,99,DT
31959,23,RB
31959,34o,RB
31959,34,RB
31960,01o,WR
31960,81,WR
31961,53,MLB
31961,46,MLB
31962,15,WR
31968,45,TE
31968,88,TE
31968,45o,TE
31972,17,WR
31972,15,WR
31981,76,DT
31982,75,DE
31982,95,DE
31982,96,DE
31982,42,DE
31986,30o,RB
31989,29d,SS
31989,29,SS
31991,20,CB
31991,31,CB
31994,48,LS
31994,44,LS
31996,82,TE
31997,95,DE
31999,59,OLB
31999,53,OLB
31999,51,OLB
32004,45,TE
32004,82,TE
32006,82,TE
32006,85,TE
32007,47d,CB
32007,47,CB
32008,17,WR
32009,10,WR
32009,11,WR
32012,15,WR
32014,30,CB
32034,69,DT
32034,90,DT
32041,28,CB
32041,31,CB
32041,37,CB
32042,35,FS
32044,41,LB
32048,31,RB
32048,34o,RB
32048,34,RB
32050,43,FS
32052,56,DE
32056,44,DE
32057,29,SS
32059,25,CB
32059,26,CB
32060,57,OLB
32060,58,OLB
32061,96,DT
32062,81,TE
32062,84,TE
32063,22,RB
32063,39o,RB
32064,18,WR
32065,5,P
32066,28,CB
32068,42,FB
32069,36,SS
32069,31,SS
32070,13,WR
32072,83,TE
32074,58,OLB
32080,2,WR
32081,48,ILB
32082,40,RB
32084,58,OLB
32084,49,OLB
32089,82,TE
32090,36,RB
32094,44,LB
32094,58,LB
32098,85,TE
32098,83,TE
32102,44,OLB
32102,50,OLB
32106,29,CB
32107,95,DE
32108,23,FS
32109,58,MLB
32110,51,OLB
32111,47,OLB
32112,14,WR
32113,80,WR
32114,48,OLB
32114,53,OLB
32114,48d,OLB
32115,12,WR
32115,16,WR
32115,83,WR
32115,13,WR
32116,93,DT
32117,84,TE
32120,87,TE
32120,85,TE
32121,9,WR
32122,47,RB
32123,18,WR
32123,10,WR
32127,44,DE
32128,17,WR
32129,58,MLB
32130,45,FB
32131,95,DT
32132,76,G
32133,23,RB
32134,87,TE
32135,81,TE
32136,37,CB
32137,33,DB
32137,38,DB
32137,36,DB
32138,98,NT
32139,83,TE
32141,87,TE
32143,55,DT
32146,48,OLB
32150,20,CB
32153,54,OLB
32157,39,CB
32160,16,WR
32162,99,DT
32162,97,DT
32164,91,DE
32165,22,CB
32166,10,WR
32166,14,WR
32167,47,OLB
32168,26,CB
32170,13,WR
32171,52,MLB
32171,50,MLB
32174,01o,WR
32181,96,OLB
32185,81,TE
32188,16,TE
32188,88,TE
32189,97,LB
32190,87,TE
32190,82,TE
32190,83,TE
32195,28,CB
32195,35,CB
32195,41,CB
32198,24,FS
32198,39,FS
32200,88,RB
32201,50,MLB
32205,58,OLB
32208,15,WR
32210,55,DE
32211,16,WR
32212,23,CB
32213,57,LB
32214,81,TE
32215,57,OLB
32218,18,WR
32218,17,WR
32221,56,OLB
32227,82,TE
32228,49,LS
32239,31,CB
32240,44,OLB
32248,54,ILB
32250,18,WR
32250,82,WR
32251,23,FS
32256,88,TE
32257,29,RB
32261,90,DT
32262,21,SS
32265,97,DE
32267,32,CB
32269,96,DE
32270,81,WR
32271,20,CB
32273,38,CB
32276,88,LS
32277,16,WR
32279,37,DB
32283,39,RB
32284,66,LB
32287,19,WR
32290,38,CB
32290,37,CB
32298,34,RB
32298,48,RB
32312,80,WR
32319,88,TE
32320,41,SS
32320,30,SS
32322,38,FS
32322,23,FS
32322,27,FS
32323,39,ILB
32323,45,ILB
32323,49d,ILB
32325,10,WR
32326,30,CB
32331,42o,LS
32332,38,DB
32333,16,WR
32341,81,WR
32342,6,WR
32343,36,SS
32344,67d,DE
32346,32,CB
32347,83,TE
32350,39d,SS
32350,39,SS
32350,42,SS
32351,2,WR
32353,40,CB
32353,28,CB
32353,40d,CB
32355,80,WR
32355,3,WR
32357,65d,DE
32358,5,WR
32359,59,OLB
32360,37,CB
32361,92,OLB
32362,13,WR
32363,39d,S
32363,39,S
32365,15,WR
32365,82,WR
32366,46d,ILB
32366,44,ILB
32367,40,OLB
32369,72,DE
32369,72d,DE
32371,32,RB
32371,20,RB
32371,22o,RB
32372,10,WR
32372,5,WR
32375,40,FB
32375,38o,FB
32377,39,RB
32377,34,RB
32378,99,DT
32379,24,CB
32379,28,CB
32382,22,FS
32385,87,WR
32386,51,OLB
32387,90,DT
32388,45,MLB
32389,20,CB
32390,41,CB
32390,24,CB
32392,81,TE
32393,22,RB
32394,81,TE
32396,99,DT
32398,10,WR
32399,35,FS
32401,59,OLB
32402,91,DT
32403,38,CB
32403,32,CB
32404,34,RB
32405,64o,G
32406,44,ILB
32408,50,ILB
32410,36,CB
32410,33,CB
32412,94,DE
32413,98,DE
32415,99,OLB
32415,91,OLB
32416,99,DE
32417,28,RB
32417,39o,RB
32421,20,SS
32421,36,SS
32422,40,MLB
32423,11,WR
32425,52,MLB
32426,36,RB
32426,34,RB
32428,49,OLB
32428,91,OLB
32429,89,TE
32430,89,TE
32431,14,QB
32433,68,T
32435,69,DT
32437,54,OLB
32437,48d,OLB
32438,39,CB
32438,26,CB
32438,49,CB
32439,42,LS
32439,42O,LS
32440,38o,RB
32441,13,WR
32442,52,ILB
32443,53o,C
32444,41,OLB
32448,64d,DE
32448,64,DE
32448,91,DE
32449,4,P
32450,36,RB
32451,87,WR
32452,44,OLB
32452,50,OLB
32453,11,WR
32454,27,SS
32456,30d,CB
32456,30,CB
32458,5,WR
32460,46,ILB
32464,83,WR
32464,84,WR
32464,19,WR
32465,21,CB
32465,01d,CB
32467,48,LB
32468,47,LB
32470,54,OLB
32470,58,OLB
32470,59,OLB
32471,59,OLB
32472,38,FB
32475,6,WR
32475,19,WR
32477,45,CB
32479,45,FS
32479,40,FS
32479,40d,FS
32480,65,DE
32480,54,DE
32480,75,DE
32482,2,WR
32482,45,WR
32484,68,OLB
32484,59,OLB
32485,30d,CB
32486,57,LS
32486,86,LS
32486,46o,LS
32488,17,WR
32489,38,S
32491,49,OLB
32491,54,OLB
32494,48,LS
32496,33d,SS
32496,41,SS
32497,69,LS
32497,69o,LS
32498,41,CB
32498,45,CB
32498,47,CB
32499,48,FB
32499,47o,FB
32502,52,ILB
32505,1,P
32508,89,TE
32508,84,TE
32511,38d,CB
32513,50,LB
32515,46,TE
32515,84,TE
32515,86,TE
32515,81,TE
32517,43,FS
32517,20,FS
32519,41,LB
32521,40,CB
32521,31,CB
32521,48,CB
32523,81,TE
32523,83,TE
32523,84,TE
32524,19,WR
32525,26,FS
32525,47,FS
32531,7,P
32531,2,P
32534,41o,TE
32537,83,WR
32537,13,WR
32540,39,RB
32540,33,RB
32543,12,WR
32545,45,LB
32546,28,CB
32550,17,WR
32552,38,CB
32552,38D,CB
32553,16,WR
32554,1,WR
32557,86,TE
32559,84,WR
32560,45,FS
32562,89,TE
32564,57d,OLB
32566,93,DT
32571,57,OLB
32572,42,LB
32573,48,ILB
32574,97,NT
32576,9,CB
32577,27o,RB
32577,27,RB
32578,74,DT
32580,31,CB
32581,22,CB
32581,35,CB
32582,81,TE
32582,44,TE
32583,48o,TE
32584,1,K
32586,48,LB
32592,20,SS
32592,20D,SS
32593,20o,RB
32593,34,RB
32593,31o,RB
32596,34,CB
32598,33,CB
32599,82,TE
32602,14,WR
32602,21,WR
32602,37,WR
32602,85,WR
32606,86,TE
32607,67d,DE
32607,67,DE
32608,56,OLB
32609,9,WR
32610,62,DE
32611,35o,RB
32611,42,RB
32615,59,LS
32615,49,LS
32617,40,CB
32617,29,CB
32617,30,CB
32618,89,TE
32619,57,OLB
32620,37,SS
32621,87,WR
32622,41,OLB
32623,44,OLB
32625,82,WR
32626,81,WR
32627,43,OLB
32627,52,OLB
32628,29,FS
32629,43,ILB
32631,20,CB
32633,93,OLB
32635,28,CB
32637,33,FS
32639,35,RB
32641,38,CB
32643,23,CB
32643,39,CB
32643,39d,CB
32644,1,P
32650,81,TE
32650,88,TE
32652,16,CB
32652,26,CB
32653,2,WR
32655,78,DE
32656,86,WR
32657,99,DE
32659,82,WR
32659,18,WR
32660,92,DT
32661,84,TE
32663,33d,CB
32663,39,CB
32664,48,MLB
32664,48d,MLB
32667,74,DE
32667,95,DE
32667,47d,DE
32668,40o,TE
32670,53,OLB
32671,97,DE
32672,36,RB
32672,36o,RB
32673,36d,S
32674,50,OLB
32674,55,OLB
32675,49d,LB
32676,41,CB
32676,35,CB
32677,58,ILB
32678,37d,DB
32679,19,WR
32679,8,WR
32682,46d,MLB
32682,46,MLB
32682,49,MLB
32683,43,DB
32684,91,DE
32685,86,WR
32688,83,WR
32689,85,TE
32689,49w,TE
32689,45,TE
32689,49o,TE
32691,14,WR
32694,89,WR
32697,36,FS
32697,39,FS
32702,88,WR
32704,36,CB
32705,84,WR
32707,17,WR
32707,81,WR
32708,59,LB
32708,50,LB
32708,47,LB
32708,56,LB
32710,38,CB
32710,37,CB
32715,40,S
32716,86o,TE
32717,69,DE
32718,45,OLB
32719,56,DE
32719,98,DE
32724,1,WR
32724,16,WR
32724,11,WR
32725,89,TE
32728,06o,WR
32728,88,WR
32729,94,OLB
32730,55,DE
32730,47,DE
32732,83,WR
32732,85,WR
32733,42,OLB
32734,57,OLB
32735,40,CB
32735,26,CB
32737,37,FB
32738,38,CB
32739,82,WR
32740,44,FB
32740,97,FB
32741,43,RB
32741,25,RB
32743,46o,TE
32743,46,TE
32745,45,TE
32747,44,RB
32749,39,FS
32750,75,DE
32751,57,OLB
32753,46d,LS
32753,46,LS
32754,41,DB
32755,18,WR
32755,12,WR
32757,35d,CB
32758,28,CB
32759,98,DT
32761,90,DT
32762,95,DE
32763,94,NT
32764,2,RB
32765,13,WR
32766,78,T
32767,36,SS
32769,26,CB
32770,43,CB
32770,36,CB
32772,29,CB
32773,44,ILB
32774,26d,SS
32774,26,SS
32775,14,WR
32776,32d,CB
32776,32,CB
32780,24,RB
32781,98,DE
32782,28,RB
32782,28o,RB
32783,36,CB
32786,25,FS
32786,41,FS
32786,41d,FS
32788,24d,CB
32788,37,CB
32788,24,CB
32789,59,OLB
32790,36,FS
32791,19,WR
32793,24,SS
32793,29,SS
32794,86,FB
32794,40,FB
32795,16,WR
32796,52,OLB
32797,21,CB
32798,34,CB
32799,52,OLB
32801,83,WR
32801,18,WR
32802,50,ILB
32802,43d,ILB
32803,31,CB
32804,36,RB
32805,57,OLB
32806,39o,RB
32807,42,SS
32809,59,MLB
32810,24,CB
32810,37,CB
32810,32D,CB
32813,35,RB
32813,35O,RB
32814,30,CB
32815,81,WR
32815,19,WR
32817,85,WR
32817,83,WR
32819,47,SS
32820,48,ILB
32820,62d,ILB
32820,62,ILB
32823,35,CB
32828,75,DE
32829,46,CB
32829,37,CB
32830,41d,S
32831,38o,RB
32832,16,WR
32832,15,WR
32834,25d,CB
32836,37,CB
32836,37d,CB
32838,35,RB
32839,84,WR
32839,15,WR
32839,17,WR
32840,45,LB
32841,80,WR
32847,15,WR
32848,47,CB
32848,25D,CB
32849,36,CB
32851,43d,ILB
32851,45,ILB
32851,43,ILB
32851,45d,ILB
32852,45,NT
32853,44d,LB
32856,35,CB
32856,37,CB
32857,48o,LS
32857,48,LS
32858,49,LB
32859,97,DT
32860,92,DE
32860,68d,DE
32861,42,DB
32864,48,TE
32864,49o,TE
32868,61d,OLB
32871,75,NT
32871,71d,NT
32873,27d,S
32873,27,S
32875,20,CB
32875,46,CB
32876,81,WR
32880,57,LB
32881,11,WR
32881,87,WR
32883,70,DE
32884,51,MLB
32888,42,SS
32889,91,DT
32890,24,CB
32891,26,CB
32892,59,OLB
32894,53,ILB
32894,49,ILB
32895,57,OLB
32896,8,P
32897,34,FB
32900,85,TE
32902,27o,RB
32902,27,RB
32905,46d,DE
32905,46,DE
32906,44,OLB
32907,27d,SS
32910,56,ILB
32912,88,WR
32913,41,CB
32913,40d,CB
32914,46o,TE
32914,46,TE
32916,42,CB
32916,24,CB
32918,30,FB
32922,25,SS
32924,50,ILB
32924,44,ILB
32925,35d,CB
32926,15,WR
32926,80,WR
32928,44,MLB
32929,47,OLB
32931,40,CB
32932,85,TE
32933,32,CB
32934,29,CB
32934,33,CB
32935,16,WR
32937,83,WR
32937,13,WR
32937,19,WR
32938,75,NT
32939,48,SS
32940,33,RB
32942,29,CB
32942,45,CB
32942,27,CB
32943,9,P
32944,41,S
32945,81,WR
32946,21,CB
32946,49,CB
32949,94,DE
32951,11,WR
32952,57,DE
32955,51,OLB
32956,32,FB
32958,34,SS
32959,17,WR
32960,48,OLB
32963,16,WR
32964,39,RB
32964,39o,RB
32964,34,RB
32966,19,WR
32967,92,DT
32968,44,MLB
32970,48,OLB
32971,31,FS
32972,23,RB
32973,31,CB
32974,84,WR
32975,40,RB
32975,31,RB
32977,81,WR
32978,31,CB
32978,31D,CB
32979,58,ILB
32979,50,ILB
32980,14,WR
32980,84,WR
32983,54,OLB
32985,49D,CB
32986,88,TE
32986,49o,TE
32987,36,CB
32987,41d,CB
32987,41,CB
32993,40,RB
32994,57,OLB
32995,15,WR
32997,84,TE
32997,80,TE
32998,52,OLB
33001,35,SS
33001,26,SS
33001,36,SS
33003,1,WR
33004,30,RB
33006,85,WR
33006,19,WR
33009,83,WR
33010,92,DT
33013,40,FB
33015,85,WR
33017,12,WR
33019,31,CB
33019,28d,CB
33021,19,WR
33021,15,WR
33022,37,SS
33023,9,WR
33024,98,DE
33024,93,DE
33024,67,DE
33024,63,DE
33025,46,RB
33025,30,RB
33028,45,LB
33029,32o,RB
33031,49,LB
33034,12,WR
33035,38,RB
33037,92,DT
33038,21,FS
33040,10,WR
33040,81,WR
33041,32,CB
33041,25d,CB
33041,25,CB
33043,86,TE
33044,43,CB
33046,95,DE
33047,30,CB
33048,35,SS
33049,34,RB
33050,25,CB
33051,93,DT
33053,28,FS
33054,80,TE
33055,20,CB
33056,57,OLB
33058,59,ILB
33059,32,SS
33060,88,WR
33061,83,TE
33062,30,RB
33062,33,RB
33063,49,LS
33063,64,LS
33064,99,DE
33066,99,NT
33067,59,ILB
33068,45d,LB
33069,13,WR
33070,35,CB
33072,94,OLB
33073,90,DE
33074,92,OLB
33074,93,OLB
33076,26,SS
33076,30,SS
33078,81,WR
33078,14,WR
33079,80,WR
33080,87,TE
33082,62,G
33083,27,FS
33084,38,CB
33084,38d,CB
33084,29,CB
33086,49,LB
33086,51,LB
33086,59,LB
33087,86,WR
33087,18,WR
33089,2,K
33090,86,TE
33091,26,CB
33091,20,CB
33093,90,DE
33093,74,DE
33094,17,WR
33095,45,TE
33096,90,DE
33099,87,TE
33101,82,TE
33103,25,CB
33107,22,CB
33110,89,TE
33111,10,WR
33112,84,TE
33113,59,MLB
33114,13,WR
33114,88,WR
33115,42o,LS
33115,44,LS
33115,62,LS
33118,32,RB
33120,97,NT
33121,93,ILB
33122,91,DE
33123,91,DE
33124,23d,CB
33124,23,CB
33125,53,MLB
33127,15,WR
33128,48,LS
33129,94,DE
33131,96,DT
33132,20D,FS
33132,31,FS
33133,26,CB
33137,46,TE
33140,48,ILB
33140,49,ILB
33142,6,WR
33143,87,WR
33146,14,WR
33146,9,WR
33147,50,ILB
33147,58,ILB
33149,85,TE
33150,83,WR
33153,85,TE
33155,38d,SS
33155,39D,SS
33155,38,SS
33157,42,S
33165,48,DB
33173,35o,RB
33174,64d,DT
33179,6,WR
33180,9,WR
33181,47,DB
33181,43,DB
33185,99,LB
33186,47,LB
33187,39,CB
33188,54,LB
33191,50,LB
33193,25,RB
33195,48o,RB
33197,36o,RB
33199,59,LS
33200,9,P
33205,43,LS
33208,87,TE
33210,54,LS
33213,41,DB
33214,48,LB
33215,13,WR
33218,2,P
33220,35d,S
33222,87,CB
33227,39d,CB
33231,7,WR
33232,41,S
33233,48,FS
33235,39o,FB
33239,49,S
33240,42,TE
33241,39d,S
33242,54,OLB
33242,56,OLB
33244,60d,LB
33245,60o,C
33246,48,TE
33246,82,TE
33247,56,LB
33251,16,WR
33252,17,WR
33254,63d,DE
33257,42o,RB
33258,47,TE
33259,82,WR
33260,43,LS
33260,42,LS
33261,83,WR
33264,06o,WR
33266,87,WR
33266,6,WR
33267,40,CB
33267,31,CB
33268,40,RB
33269,2,P
33269,02d,P
33270,56,OLB
33270,49,OLB
33271,69d,DE
33274,25d,FS
33274,37,FS
33280,22,RB
33281,29,CB
33282,10,WR
33283,54,OLB
33286,32,RB
33291,16,WR
33292,81,WR
33293,33,RB
33294,36,FS
33295,35,RB
33295,25,RB
33296,40,RB
33298,45,DE
33298,55,DE
33299,31g,CB
33299,31,CB
33299,31d,CB
33302,38,FS
33304,32,RB
33305,19,WR
33306,83,WR
33306,1,WR
33306,17,WR
33307,84,WR
33307,6,WR
33308,22,RB
33309,3,WR
33313,30,FS
33313,30d,FS
33315,46o,TE
33315,83,TE
33316,26,FS
33316,49d,FS
33318,47o,FB
33324,64,DE
33324,64d,DE
33330,66,DE
33330,66d,DE
33332,87,TE
33333,38,DB
33334,83,WR
33336,50,OLB
33337,52,OLB
33338,82,TE
33339,37,SS
33339,36,SS
33341,44,FB
33344,56,MLB
33348,39,RB
33349,30,RB
33350,44,CB
33351,56,DT
33356,55,LB
33357,7,QB
33360,86,TE
33362,41,CB
33363,27,CB
33363,37,CB
33364,8,P
33364,5,P
33365,3,P
33366,16,WR
33366,88,WR
33367,83,WR
33368,53,ILB
33370,33,CB
33373,33,RB
33374,44,FB
33375,04O,WR
33376,42,DT
33379,6,WR
33381,70,DT
33382,80,WR
33384,39,RB
33384,46,RB
33385,47d,LB
33386,81,WR
33387,47,TE
33387,48o,TE
33389,34d,S
33390,29,CB
33392,48d,OLB
33392,48,OLB
33393,42,CB
33395,29,CB
33395,27d,CB
33396,26,S
33397,35d,S
33399,59,ILB
33400,16,P
33401,33,CB
33402,18,WR
33403,75,DE
33404,76,LB
33405,5,CB
33405,33,CB
33406,50,ILB
33407,81,WR
33408,91,DE
33408,64,DE
33409,16,WR
33410,32,CB
33411,82,WR
33413,38,RB
33415,27,FS
33415,2,FS
33416,61,DE
33417,84,WR
33420,52,MLB
33420,58,MLB
33421,82,TE
33423,44d,LB
33424,49,MLB
33425,30,CB
33430,31,CB
33430,26,CB
33432,41,CB
33434,85,WR
33435,41,CB
33435,31,CB
33439,81,TE
33440,37,S
33441,14,WR
33442,36,CB
33443,25,SS
33445,50,OLB
33445,35,OLB
33449,9,WR
33449,19,WR
33450,56,MLB
33452,47d,MLB
33452,47,MLB
33453,38,CB
33455,40,TE
33456,61,DE
33457,59,ILB
33460,15,WR
33461,52,ILB
33462,30,CB
33463,58,DE
33464,80,WR
33466,84,WR
33467,29,CB
33468,45,ILB
33470,34,FS
33474,4,WR
33475,48D,LB
33476,48,ILB
33477,46,OLB
33481,7,WR
33481,19,WR
33482,06d,CB
33485,30,CB
33492,34d,CB
33494,57,ILB
33495,43,S
33503,37,CB
33504,42,FB
33506,59,LB
33507,46,CB
33509,57,LB
33510,37,S
33512,27,SS
33514,49o,TE
33515,40o,RB
33516,6,WR
33520,34,CB
33523,95,DE
33524,20,CB
33525,52,OLB
33526,32,RB
33527,35,SS
33527,34d,SS
33528,87,TE
33530,19,WR
33531,49o,LS
33531,49,LS
33532,40,ILB
33533,38,CB
33533,20D,CB
33538,72,T
33539,40,MLB
33540,98,DE
33541,97,DE
33543,22,CB
33544,31,CB
33545,30,CB
33547,41,ILB
33548,33,CB
33549,42,OLB
33551,32,CB
33552,27,CB
33553,30o,RB
33554,33,FS
33555,10,WR
33556,29o,RB
33556,29,RB
33557,44,OLB
33559,80,TE
33561,34,RB
33562,10,WR
33563,91,DE
33566,36,CB
33566,20,CB
33567,23,RB
33567,25,RB
33568,27,CB
33570,50,ILB
33571,58,OLB
33572,39d,CB
33572,39,CB
33573,18,WR
33574,91,DE
33575,31,CB
33576,85,TE
33577,47,OLB
33579,25,FS
33580,40,OLB
33581,33,RB
33582,98,DT
33584,98,DT
33586,39,CB
33587,31,CB
33588,98,DE
33589,83,WR
33591,85,WR
33594,32,RB
33595,79,DE
33595,96,DE
33596,27,RB
33598,54,DT
33598,99,DT
33599,19,WR
33602,47,DB
33603,48,DB
33604,85,WR
33604,81,WR
33606,51,ILB
33608,35d,CB
33611,86,TE
33612,23D,CB
33613,45,RB
33615,48o,TE
33616,39,RB
33617,97,DT
33619,3,P
33620,89,WR
33621,47,S
33622,16,WR
33626,93,DT
33628,45,CB
33633,19,WR
33635,47,OLB
33638,45,ILB
33640,43,FB
33640,43o,FB
33642,50,MLB
33644,48d,LB
33645,41,CB
33646,42,CB
33648,89,TE
33649,43,SS
33650,49,LB
33652,38,CB
33655,18,WR
33657,48,LB
33658,89,TE
33659,43,ILB
33661,66,DT
33664,31o,RB
33665,44,LB
33666,69,OLB
33669,3,WR
33671,38,CB
33674,36,S
33675,35,FS
33677,2,S
33678,41,MLB
33680,85,TE
33681,84,WR
33683,41O,RB
33685,58,LB
33693,59,DE
33695,86,WR
33696,80,TE
33697,43,CB
33697,43d,CB
33699,03o,RB
33699,3,RB
33699,03d,RB
33699,30,RB
33700,52,OLB
33700,58,OLB
33700,53,OLB
33704,49d,OLB
33704,49,OLB
33706,82,WR
33707,39,CB
33710,43d,CB
33710,30,CB
33716,46,MLB
33717,19,WR
33719,43o,RB
33719,43,RB
33721,35,CB
33725,30,RB
33725,30o,RB
33729,1,P
33731,49,SS
33733,89,WR
33734,30d,CB
33735,85,TE
33736,39,FB
33738,53d,LB
33738,41,LB
33739,1,WR
33742,46o,TE
33746,79,DE
33747,83,WR
33748,38o,RB
33748,38,RB
33753,84,WR
33755,12,WR
33756,47,CB
33756,47d,CB
33757,49,TE
33758,78,DE
33760,42,RB
33760,33,RB
33762,41,RB
33762,41o,RB
33765,51,ILB
33770,34,CB
33770,19,CB
33772,89,WR
33773,83,WR
33775,58,OLB
33776,53,OLB
33778,36,S
33779,32,CB
33780,50,ILB
33782,57,DE
33783,23,CB
33783,41,CB
33784,39,FS
33786,98,DT
33789,22,RB
33790,50,OLB
33791,40,FS
33792,30,SS
33794,44,OLB
33796,37o,RB
33798,86,TE
33800,38o,RB
33802,80,WR
33803,12,WR
33808,42,S
33809,39,CB
33810,44,CB
33812,33d,CB
33813,35,S
33813,35d,S
33815,1,WR
33817,31O,RB
33818,31D,S
33819,20,SS
33820,66,OLB
33821,37,CB
33824,95,LB
33826,43,CB
33828,37d,CB
33829,42d,S
33829,42,S
33832,28,S
33835,46,LB
33838,33,RB
33839,12,WR
33840,6,WR
33840,16,WR
33841,53,OLB
33842,37,RB
33843,12,WR
33845,36d,CB
33845,36,CB
33849,46d,ILB
33849,46,ILB
33851,46,LB
33852,40,OLB
33853,37,CB
33854,48,RB
33854,44,RB
33855,14,WR
33857,19,WR
33858,81,TE
33859,80,WR
33860,56,DT
33861,40,CB
33862,5,K
33864,83,WR
33867,56,LB
33868,95,DE
33870,94,DE
33872,33,SS
33874,23,CB
33875,43,ILB
33876,96,DE
33877,29,FS
33878,25,CB
33880,90,DE
33881,88,TE
33882,22,CB
33883,22,SS
33884,27,CB
33885,85,TE
33886,90,OLB
33887,56,OLB
33890,36,SS
33892,26,FS
33894,43,FS
33895,81,TE
33896,87,TE
33898,21,SS
33900,20,DB
33902,92,OLB
33903,27,SS
33905,65,DT
33906,41,RB
33907,94,DE
33908,18,WR
33911,13,WR
33912,75,DE
33912,99,DE
33913,93,NT
33914,47,OLB
33915,56,OLB
33916,18,WR
33917,58,DE
33918,31,CB
33918,31d,CB
33919,11,WR
33920,95,DE
33921,12,WR
33923,27o,RB
33924,94,DT
33925,27,RB
33926,26,CB
33927,43,SS
33928,27,CB
33930,20,CB
33930,34,CB
33931,42,FS
33932,19,WR
33933,16,WR
33934,92,DT
33935,91,DE
33937,84,WR
33938,51,OLB
33939,45,OLB
33940,94,DT
33941,03d,FS
33941,3,FS
33941,25,FS
33943,83,WR
33944,42,OLB
33945,50,OLB
33947,91,DE
33948,30,RB
33950,22,RB
33950,22o,RB
33950,30,RB
33951,25,RB
33952,90,NT
33952,68,NT
33953,49o,TE
33953,49w,TE
33954,55,ILB
33955,33,RB
33956,55,ILB
33957,12,WR
33961,53,OLB
33961,49,OLB
33962,99,DE
33963,92,NT
33964,97,DE
33966,84,TE
33967,39,RB
33968,13,WR
33969,60,DE
33970,26,SS
33973,47,OLB
33973,56,OLB
33974,51,OLB
33975,34,RB
33976,90,DT
33977,39,DB
33978,4,P
33978,04s,P
33979,85,TE
33980,46,FB
33985,33d,CB
33986,43,LB
33987,25,DB
33989,35,CB
33990,87,TE
33991,09o,WR
33992,14,WR
33993,38d,DB
33997,43,OLB
33997,41,OLB
34000,80,TE
34001,37,CB
34003,58,LB
34004,1,WR
34005,39,CB
34006,59,LB
34010,89,TE
34015,02o,WR
34016,37,RB
34016,37o,RB
34020,49,LB
34023,17,WR
34024,49o,TE
34025,02o,WR
34027,88,WR
34029,48d,LB
34031,35,CB
34034,4,WR
34035,82,WR
34038,17,WR
34042,47,DB
34046,9,DB
34048,34d,CB
34050,36,DB
